Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
107,Missouri,11,7,4,.636,10.14,1.96,0,0,5,1,1,1,725,635,,66.6,97.8,.324,.411,.523,53.7,50.2,10.4,9.5,.483,19.2,30.9,.240
108,Albany (NY),14,6,8,.429,-8.37,-5.14,0,0,4,2,0,6,934,950,,70.4,94.8,.363,.410,.526,50.4,60.6,7.3,8.9,.489,18.2,24.1,.253
109,Robert Morris,13,4,9,.308,-10.57,-3.16,0,0,2,1,1,8,886,935,,69.0,98.7,.225,.409,.504,48.6,62.5,10.5,4.3,.486,16.8,31.4,.145
110,Maine,12,3,9,.250,-16.04,-1.49,0,0,1,2,1,7,688,808,,65.2,88.0,.261,.409,.499,52.5,69.8,9.6,10.3,.475,22.6,28.3,.173
111,Florida Atlantic,12,8,4,.667,-4.79,-6.13,0,0,7,1,1,3,879,802,,70.9,102.2,.341,.408,.533,53.7,47.7,11.2,6.6,.506,17.5,33.0,.227
112,Maryland-Baltimore County,14,6,8,.429,-9.00,-0.73,0,0,5,1,1,5,976,945,,70.3,99.2,.350,.408,.523,49.8,55.8,7.9,5.3,.502,17.4,28.1,.216
113,Maryland-Eastern Shore,14,1,13,.071,-20.43,3.19,0,0,1,1,0,12,755,1016,,69.7,77.4,.205,.408,.435,43.4,45.5,12.8,11.1,.416,20.6,21.9,.123
114,Utah Valley,14,5,9,.357,-8.06,-3.39,0,0,2,3,3,6,979,987,,72.5,96.5,.257,.407,.522,50.3,46.9,7.6,13.6,.491,17.4,25.3,.190
115,San Jose State,13,3,10,.231,-9.40,5.68,0,2,2,5,1,4,854,1010,,73.4,89.5,.350,.407,.486,49.0,57.5,7.2,8.5,.448,19.3,28.5,.237
116,Oral Roberts,12,7,5,.583,4.62,2.62,0,0,6,0,1,5,945,810,,73.3,107.4,.338,.406,.521,54.8,46.3,9.3,6.2,.482,14.0,36.1,.246
117,Wagner,10,3,7,.300,-11.58,-0.02,0,0,2,1,1,6,734,808,,73.5,97.5,.384,.404,.512,49.7,57.5,8.5,6.9,.466,17.0,28.4,.279
118,Columbia,12,3,9,.250,-7.71,-0.79,0,0,2,0,0,8,785,868,,70.8,92.5,.191,.404,.491,47.4,50.2,6.9,8.0,.471,16.0,21.5,.128
119,Maryland,12,10,2,.833,19.52,6.18,1,1,7,0,0,2,896,736,,71.0,105.0,.384,.403,.519,55.4,50.8,8.0,14.8,.476,14.9,34.9,.275
120,Nevada-Las Vegas,13,5,8,.385,-0.32,1.14,1,0,4,4,1,3,891,910,,63.9,102.4,.337,.403,.530,54.5,49.8,7.1,8.9,.497,18.7,36.1,.238
121,Northern Illinois,13,7,6,.538,-2.39,-3.89,0,0,4,2,3,4,891,825,,68.2,100.6,.297,.403,.507,53.9,42.9,8.4,9.2,.479,15.7,31.6,.200
122,Tulane,12,8,4,.667,0.99,-4.26,0,0,5,0,1,0,876,813,,69.4,104.0,.380,.402,.544,46.9,49.8,12.6,6.5,.509,15.3,24.9,.267
123,Seton Hall,12,8,4,.667,17.30,6.80,0,0,5,1,1,2,897,771,,72.3,103.3,.317,.402,.539,50.5,53.4,11.8,15.9,.512,16.6,29.2,.217
124,Hawaii,13,8,5,.615,2.12,2.37,0,0,8,3,0,2,909,895,,71.0,98.5,.320,.402,.537,49.9,58.6,8.0,5.9,.505,18.6,27.8,.228
125,East Tennessee State,13,11,2,.846,8.24,-1.12,1,0,7,0,4,2,1023,835,,69.3,113.5,.370,.401,.582,54.6,52.9,12.2,13.1,.556,16.2,35.8,.255
126,North Dakota,13,6,7,.462,-5.90,1.50,0,0,3,0,2,6,1003,928,,72.0,107.2,.269,.400,.576,54.4,53.8,6.5,6.7,.545,18.2,29.7,.210
127,Loyola (MD),11,7,4,.636,-6.82,-7.72,0,0,3,0,3,4,792,756,,70.5,101.0,.376,.400,.540,46.6,66.1,10.5,7.8,.520,15.6,23.0,.233
128,Nebraska,12,5,7,.417,0.92,3.09,1,1,3,3,0,3,896,922,,72.6,98.8,.336,.399,.519,43.3,53.2,7.8,6.6,.505,14.3,21.2,.193
129,William & Mary,13,8,5,.615,-3.25,-3.33,0,0,4,0,4,4,955,894,,70.3,104.5,.297,.398,.562,54.2,52.5,7.0,9.9,.536,16.1,25.4,.212
