Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
111,Grambling,13,6,7,.462,-9.63,1.15,0,0,4,0,2,6,1015,947,,74.7,97.5,.410,.414,.539,47.1,60.2,9.4,6.5,.504,19.5,26.5,.280
112,Grand Canyon,14,5,9,.357,-3.05,1.26,0,0,4,4,0,2,951,1016,,67.9,105.9,.309,.424,.559,52.7,54.0,8.0,8.0,.532,16.4,27.7,.217
113,Green Bay,13,5,8,.385,-5.96,2.59,0,0,3,2,2,6,1074,1055,,77.2,105.2,.261,.424,.573,51.6,54.9,7.4,6.0,.550,18.3,27.4,.188
114,Hampton,12,4,8,.333,-18.82,-0.93,0,0,4,2,0,6,901,927,,72.9,104.9,.378,.372,.526,51.2,53.9,9.0,6.7,.490,15.0,32.9,.261
115,Hartford,13,6,7,.462,-12.87,-7.87,0,0,4,4,2,3,869,902,,71.4,97.2,.324,.339,.512,54.6,52.9,10.1,7.0,.484,17.9,31.2,.214
116,Harvard,12,8,4,.667,1.90,-3.19,0,0,4,0,3,1,881,768,,70.4,90.9,.302,.342,.490,46.6,47.5,9.8,8.3,.466,18.6,27.4,.190
117,Hawaii,13,8,5,.615,2.12,2.37,0,0,8,3,0,2,909,895,,71.0,97.0,.317,.270,.512,50.1,41.1,10.7,8.0,.472,16.8,28.4,.233
118,High Point,12,3,9,.250,-18.32,0.28,0,0,3,3,0,6,788,931,,70.3,109.3,.305,.478,.580,47.5,62.3,12.2,11.5,.558,16.4,27.3,.211
119,Hofstra,13,9,4,.692,-0.94,-5.52,0,0,4,1,3,3,1004,907,,72.6,96.1,.220,.355,.514,48.9,57.2,8.2,7.6,.490,18.1,28.3,.155
120,Holy Cross,12,1,11,.083,-17.11,-1.65,0,0,0,5,0,5,811,984,,71.2,112.8,.356,.365,.572,51.9,45.8,11.4,8.7,.548,14.5,30.4,.244
121,Houston Baptist,10,0,10,.000,-16.74,7.86,0,1,0,1,0,8,766,1012,,80.1,126.3,.390,.325,.633,54.8,58.9,11.9,11.3,.610,14.4,35.6,.282
122,Houston,13,10,3,.769,14.82,3.13,0,0,5,2,2,1,1003,851,,68.4,95.7,.377,.394,.495,42.2,55.4,6.5,4.4,.449,14.9,25.3,.269
